1,53 -0,3398 -0,1215
1,54 -0,3373 -0,1213
1,55 -0,3349 -0,1210
1,56 -0,3325 -0,1207
1,57 -0,3301 -0,1204
1,58 -0,3277 -0,1201
1,59 -0,3253 -0,1197
1,60 -0,3229 -0,1194
1,61 -0,3205 -0,1190
1,62 -0,3182 -0,1186
1,63 -0,3158 -0,1182
1,64 -0,3134 -0,1178
1,65 -0,3111 -0,1174
1,66 -0,3088 -0,1170
1,67 -0,3064 -0,1166
1,68 -0,3041 -0,1161
1,69 -0,3018 -0,1157
1,70 -0,2995 -0,1152
1,71 -0,2972 -0,1148
1,72 -0,2949 -0,1143
1,73 -0,2926 -0,1138
1,74 -0,2904 -0,1133
1,75 -0,2881 -0,1128
1,76 -0,2859 -0,1123
1,77 -0,2836 -0,1118
1,78 -0,2814 -0,1112
1,79 -0,2792 -0,1107
1,80 -0,2770 -0,1102
1,81 -0,2748 -0,1096
1,82 -0,2726 -0,1091
1,83 -0,2704 -0,1085
1,84 -0,2683 -0,1080
1,85 -0,2661 -0,1074
1,86 -0,2640 -0,1068
1,87 -0,2619 -0,1063
1,88 -0,2597 -0,1057
1,89 -0,2576 -0,1051
1,90 -0,2556 -0,1045
1,91 -0,2535 -0,1040
1,92 -0,2514 -0,1034
1,93 -0,2494 -0,1028
1,94 -0,2473 -0,1022
1,95 -0,2453 -0,1016
1,96 -0,2433 -0,1010
1,97 -0,2412 -0,1004
1,98 -0,2393 -0,0998
1,99 -0,2373 -0,0992
2,00 -0,2353 -0,0986
2,01 -0,2333 -0,0980
2,02 -0,2314 -0,0974
2,03 -0,2295 -0,0968
2,04 -0,2275 -0,0962
2,05 -0,2256 -0,0956
2,06 -0,2237 -0,0949
2,07 -0,2218 -0,0943
2,08 -0,2200 -0,0937
2,09 -0,2181 -0,0931
2,10 -0,2162 -0,0925
2,11 -0,2144 -0,0919
2,12 -0,2126 -0,0913
2,13 -0,2108 -0,0907
2,14 -0,2090 -0,0900
2,15 -0,2072 -0,0894
2,16 -0,2054 -0,0888
2,17 -0,2036 -0,0882
2,18 -0,2019 -0,0876
2,19 -0,2002 -0,0870
2,20 -0,1984 -0,0864
